Beer,Origin,Style,ABV,Ratings
AleSmith Speedway Stout,CA,Imperial Stout,12%,4.408
Goose Island Bourbon County Stout,IL,Imperial Stout,14.5%,4.301
New Glarus Belgian Red,WI,Fruit Beer,5.1%,4.256
Three Floyds Dreadnaught Imperial IPA,IN,Imperial IPA,9.5%,4.250
Stone Double Bastard Ale,CA,American Barleywine,11.2%,4.240
Founders Kentucky Breakfast Bourbon Aged Stout,MI,Imperial Stout,10%,4.227
Dogfish Head World Wide Stout,DE,Imperial Stout,18%,4.226
Stone Imperial Russian Stout,CA,Imperial Stout,10.5%,4.222
Bells Hopslam,MI,Imperial IPA,10%,4.220
AleSmith YuleSmith - Summer,CA,Imperial IPA,9.5%,4.209
Bells Expedition Stout,MI,Imperial Stout,11.5%,4.191
AleSmith Barrel Aged Speedway Stout,CA,Imperial Stout,12%,4.191
Stone Ruination IPA,CA,Imperial IPA,7.7%,4.181
Russian River Pliny the Younger,CA,Imperial IPA,11%,4.180
Great Divide Oak Aged Yeti Imperial Stout,CO,Imperial Stout,9.5%,4.175
Bells Black Note Stout,MI,Imperial Stout,10.5%,4.167
Russian River Temptation,CA,Belgian Strong Ale,7.25%,4.161
Great Divide Maverick/Yeti Imperial Stout,CO,Imperial Stout,9.5%,4.158
Founders Breakfast Stout,MI,Coffee Stout,8.3%,4.158
Pizza Port Cuvee de Tomme,CA,Belgian Strong Ale,12%,4.147
Oskar Blues Ten FIDY,CO,Imperial Stout,10%,4.144
Hair of the Dog Adam,OR,Strong Ale,10%,4.140
AleSmith Old Numbskull,CA,English Barleywine,11%,4.139
Stone India Pale Ale,CA,IPA,6.9%,4.135
AleSmith Barrel Aged Old Numbskull,CA,English Barleywine,10%,4.130
Great Divide Hercules Double IPA,CO,Imperial IPA,9.1%,4.122
Founders Imperial Stout,MI,Imperial Stout,10.5%,4.117
Deschutes The Dissident,OR,Wild Ale,11%,4.111
Thirsty Dog Siberian Night Imperial Stout,OH,Imperial Stout,9%,4.109
Stone 6th Anniversary Porter,CA,Imperial Porter,8%,4.106
Bear Republic Big Bear Black Stout,CA,Imperial Stout,8.1%,4.102
Victory Old Horizontal,PA,American Barleywine,11%,4.101
Port Brewing Older Viscosity,CA,Strong Ale,12.5%,4.100
Ommegang Three Philosophers,NY,Abbey Quadrupel,9.8%,4.099
Surly Abrasive Ale,MN,Imperial IPA,8.8%,4.093
North Coast Old Rasputin XIV,CA,Imperial Stout,11.5%,4.090
Russian River Supplication,CA,Wild Ale,7%,4.086
Smuttynose Imperial Stout,NH,Imperial Stout,10%,4.081
Russian River Pliny the Elder,CA,Imperial IPA,8%,4.076
AleSmith Wee Heavy Scotch Ale,CA,Scottish Ale,10%,4.069
Rogue Chocolate Stout,OR,Chocolate Stout,6.3%,4.068
AleSmith IPA,CA,IPA,7.25%,4.066
Surly Darkness,MN,Imperial Stout,9.8%,4.063
Dogfish Head 90 Minute IPA,DE,Imperial IPA,9%,4.062
Three Floyds Dark Lord Imperial Stout,IN,Imperial Stout,13%,4.062
Smuttynose Baltic Porter,NH,Baltic Porter,8.7%,4.060
Bells Kalamazoo Stout,MI,Stout,6.5%,4.054
Brooklyn Black Chocolate Stout,NY,Imperial Stout,10.1%,4.053
Rogue Shakespeare Stout,OR,Oatmeal Stout,6%,4.050
Deschutes The Abyss,OR,Imperial Stout,11%,4.050
Bells Two Hearted Ale,MI,IPA,7%,4.047
Bear Republic Hop Rod Rye,CA,Rye Beer,7.5%,4.046
New Glarus Serendipity,WI,Wild Ale,-,4.046
Goose Island Rare Bourbon County Stout,IL,Imperial Stout,13%,4.044
Victory Storm King Stout,PA,Imperial Stout,9.1%,4.043
Firestone Walker Abacus,CA,American Barleywine,12%,4.042
Southern Tier Imperial Choklat Stout,NY,Imperial Stout,11%,4.035
Three Floyds Alpha King Pale Ale,IN,American Pale Ale,6.5%,4.031
Bear Republic Racer 5 India Pale Ale,CA,IPA,7%,4.030
Firestone Walker Parabola,CA,Imperial Stout,13%,4.027
Bells Third Coast Old Ale,MI,English Barleywine,9%,4.025
Stone Oaked Arrogant Bastard Ale,CA,Strong Ale,7.2%,4.022
New Belgium Lips of Faith La Folie,CO,Flanders Red,6%,4.022
Surly Furious,MN,IPA,6.5%,4.022
